SampleID,Date,Treatment,lake,seqnames,seqlength,mapped,rpkm,rpkm_relative_abundance,TPM,TPM_relative_abundance
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FCY-27;28_1478_2,324,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FCY-27;28_1478_3,405,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FCY-28;138_1436_1,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_FD4;21_0_3140,852,45,0.000192493,2.899644594,28996.44594,2.899644594
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G11-01;175_26_1,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G11-04;104_157_8,852,1,4.28E-06,0.064436547,644.3654654,0.064436547
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G11-06;113_21_15,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G11-09;30_136_8,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-01;125_64_1,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-03;72_47_17,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-05;53_122_8,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-07;177_159_8,852,2,8.56E-06,0.128873093,1288.730931,0.128873093
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-09;95_154_8,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-10;122_47_1,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-11;9_154_8,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_G13-12;147_97_10,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_K13-05;35_6_28,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_K13-06;75_16_9,852,2,8.56E-06,0.128873093,1288.730931,0.128873093
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_K13-07;37_40_11,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_K13-10;1_5_32,852,39,0.000166827,2.513025315,25130.25315,2.513025315
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_KLA2;105_136_4,852,6,2.57E-05,0.386619279,3866.192793,0.386619279
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_KW;98_2_566,852,4,1.71E-05,0.257746186,2577.461862,0.257746186
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_L111-01;163_171_8,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_L211-07;40_0_50,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_L211-101;14_98_2,852,58,0.000248102,3.7373197,37373.197,3.7373197
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_L211-11;18_94_2,852,0,0,0,0,0
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_L311-01;126_45_10,852,2,8.56E-06,0.128873093,1288.730931,0.128873093
ND-2,18_06_28,control,LE,Microcystis_aeruginosa_LE13-04;150_173_8,852,0,0,0,0,0
