old	short_name	tip.label	group	hex_col	WLECC	Marvin_choice
Microcystis_aeruginosa_NIES_2521	NIES_2521	Microcystis_aeruginosa_NIES-2521	Mfl_ae4	#FF6800	FALSE	FALSE
Microcystis_aeruginosa_NIES_2522	NIES_2522	Microcystis_aeruginosa_NIES-2522	Mfl_ae2	#FFA100	FALSE	FALSE
Microcystis_aeruginosa_NIES_2549	NIES_2549	Microcystis_aeruginosa_NIES-2549	Mfl_ae4	#FF6800	FALSE	FALSE
Microcystis_aeruginosa_NIES_298	NIES_298	Microcystis_aeruginosa_NIES-298	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_NIES_3787	NIES_3787	Microcystis_aeruginosa_NIES-3787	Mfl_ae4	#FF6800	FALSE	FALSE
Microcystis_aeruginosa_NIES_3804	NIES_3804	Microcystis_aeruginosa_NIES-3804	Mfl_ae3	#FF8500	FALSE	FALSE
Microcystis_aeruginosa_NIES_3806	NIES_3806	Microcystis_aeruginosa_NIES-3806	Mfl_ae4	#FF6800	FALSE	FALSE
Microcystis_aeruginosa_NIES_3807	NIES_3807	Microcystis_aeruginosa_NIES-3807	Mfl_ae4	#FF6800	FALSE	FALSE
Microcystis_aeruginosa_NIES_4264	NIES_4264	Microcystis_aeruginosa_NIES-4264	Mfl_ae2	#FFA100	FALSE	FALSE
Microcystis_aeruginosa_NIES_4285	NIES_4285	Microcystis_aeruginosa_NIES-4285	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_NIES_4325	NIES_4325	Microcystis_aeruginosa_NIES-4325	Other	#000000	FALSE	FALSE
Microcystis_aeruginosa_NIES_44	NIES_44	Microcystis_aeruginosa_NIES-44	Mae8	#803C00	FALSE	FALSE
Microcystis_aeruginosa_NIES_843	NIES_843	Microcystis_aeruginosa_NIES-843	Mae3_1	#D9D9D9	FALSE	FALSE
Microcystis_aeruginosa_NIES_87	NIES_87	Microcystis_aeruginosa_NIES-87	Other	#000000	FALSE	FALSE
Microcystis_aeruginosa_NIES_88	NIES_88	Microcystis_aeruginosa_NIES-88	Mae3_1	#D9D9D9	FALSE	FALSE
Microcystis_aeruginosa_NIES_98	NIES_98	Microcystis_aeruginosa_NIES-98	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_PCC_7005	PCC_7005	Microcystis_aeruginosa_PCC_7005	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_PCC_7806SL	PCC_7806SL	Microcystis_aeruginosa_PCC_7806SL	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_PCC_7941	PCC_7941	Microcystis_aeruginosa_PCC_7941	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_PCC_9432	PCC_9432	Microcystis_aeruginosa_PCC_9432	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_PCC_9443	PCC_9443	Microcystis_aeruginosa_PCC_9443	Mae4	#FF0B7F	FALSE	FALSE
Microcystis_aeruginosa_PCC_9701	PCC_9701	Microcystis_aeruginosa_PCC_9701	Mfl_ae1	#FFC000	FALSE	FALSE
Microcystis_aeruginosa_PCC_9717	PCC_9717	Microcystis_aeruginosa_PCC_9717	Mae3_3	#A6A6A6	FALSE	FALSE
Microcystis_aeruginosa_PCC_9806	PCC_9806	Microcystis_aeruginosa_PCC_9806	Mfl_ae3	#FF8500	FALSE	FALSE
Microcystis_aeruginosa_PCC_9807	PCC_9807	Microcystis_aeruginosa_PCC_9807	Mae4	#FF0B7F	FALSE	FALSE
Microcystis_aeruginosa_PCC_9808	PCC_9808	Microcystis_aeruginosa_PCC_9808	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_PCC_9809	PCC_9809	Microcystis_aeruginosa_PCC_9809	Mae3_1	#D9D9D9	FALSE	FALSE
Microcystis_aeruginosa_S11_01	S11_01	Microcystis_aeruginosa_S11-01	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_S11_05	S11_05	Microcystis_aeruginosa_S11-05	Mae2_(HL/LG)	#7030A0	FALSE	FALSE
Microcystis_aeruginosa_Sj	Sj	Microcystis_aeruginosa_Sj	Other	#000000	FALSE	FALSE
Microcystis_aeruginosa_SPC777	SPC777	Microcystis_aeruginosa_SPC777	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_SX13_01	SX13_01	Microcystis_aeruginosa_SX13-01	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_SX13_11	SX13_11	Microcystis_aeruginosa_SX13-11	Mae2_(LL/LG)	#7030CD	FALSE	FALSE
Microcystis_aeruginosa_TA09	TA09	Microcystis_aeruginosa_TA09	Mae10	#FFE699	FALSE	FALSE
Microcystis_aeruginosa_TAIHU98	TAIHU98	Microcystis_aeruginosa_TAIHU98	Mae1	#806000	FALSE	FALSE
Microcystis_aeruginosa_W11_03	W11_03	Microcystis_aeruginosa_W11-03	Mwe	#A9D08E	FALSE	FALSE
Microcystis_aeruginosa_W11_06	W11_06	Microcystis_aeruginosa_W11-06	Mwe	#A9D08E	FALSE	FALSE
